N,execucoes,metodo_selecao,TP,NG,TC,TM,IG,custo_medio,desvio_padrao,melhor_custo,pior_custo,ganho_medio,tempo_medio
50,20,torneio,50,10,0.2,0.8,0.7,1773.8,64.47294006015237,1644,1886,22.630932168129032,0.055025369499981026
50,20,torneio,100,200,0.8,0.0,0.7,1744.25,117.4333321506292,1511,1919,22.609823278849795,1.3274931401499999
50,20,torneio,10,10,0.5,0.8,0.1,1879.3,100.60869743715001,1630,2017,22.322953824975485,0.01190860285000781
50,20,torneio,100,50,0.8,0.0,0.1,1752.4,115.07232508296684,1508,1938,22.25432590544333,0.3122579332500209
50,20,torneio,100,10,0.5,0.2,0.1,1758.95,96.7080529221843,1541,1899,22.15807677490946,0.06389510809995044
50,20,torneio,100,100,0.8,0.0,0.0,1729.55,118.267271465947,1444,1932,21.984219455131175,0.6281759142001192
50,20,torneio,50,10,0.8,0.2,0.1,1802.55,68.81749414211477,1609,1906,21.919997998609425,0.052622587849919
50,20,torneio,100,10,0.5,0.8,0.0,1766.3,62.22306646252658,1620,1870,21.81007220337735,0.06749584520007375
50,20,torneio,10,10,0.8,0.8,0.7,1868.95,94.88070140971766,1701,2061,21.794468422578497,0.012243681499967352
50,20,torneio,10,10,0.2,0.8,0.1,1900.1,87.04188646852732,1737,2054,21.512552717105795,0.011745163499927002
50,20,torneio,100,10,0.2,0.8,0.0,1761.35,64.89011866224317,1654,1850,21.49188726970183,0.06318954200000917
50,20,torneio,100,10,0.8,0.8,0.0,1772.05,70.03604429149323,1586,1892,21.36052565913308,0.0723482366499411
50,20,torneio,100,10,0.8,0.2,0.0,1751.05,82.32343226566783,1508,1842,21.349648122242197,0.06683746244998474
50,20,torneio,10,10,0.8,0.8,0.0,1942.45,92.25533859891254,1748,2135,21.271224429699508,0.01240869314997326
50,20,torneio,50,10,0.5,0.2,0.1,1816.35,75.1872828342666,1655,1939,21.05938157851935,0.054389476400092465
50,20,torneio,100,10,0.8,0.2,0.7,1758.5,88.8816629007356,1561,1909,21.04916205809421,0.06822458270003154
50,20,torneio,50,10,0.5,0.8,0.0,1811.9,61.81173027832176,1691,1911,20.943991627831963,0.05497186870015867
50,20,torneio,100,10,0.5,0.2,0.7,1780.5,80.86253767969443,1592,1891,20.83866163840785,0.06432729245002519
50,20,torneio,50,10,0.5,0.2,0.0,1838.0,67.8203509280216,1692,1920,20.662546601478216,0.0525808319999669
50,20,torneio,100,200,0.8,0.0,0.1,1772.65,100.15551657297765,1483,1937,20.569483624754568,1.3102874845499628
50,20,torneio,10,10,0.5,0.8,0.0,1929.15,81.47163616866915,1722,2072,20.464314119222355,0.011975359749931158
50,20,torneio,50,200,0.8,0.0,0.0,1830.5,106.25699976942695,1637,2070,20.44745826702065,0.8102445357500528
50,20,torneio,50,10,0.8,0.8,0.0,1812.75,86.98785834816259,1655,1975,20.426746170633713,0.05562263554993478
50,20,torneio,10,10,0.5,0.8,0.7,1913.2,93.50753980294851,1706,2062,20.34168993594056,0.01198617629979708
50,20,torneio,10,10,0.2,0.8,0.7,1929.1,88.69830889030523,1746,2107,20.339267481353836,0.011510633750003763
50,20,torneio,50,10,0.8,0.2,0.0,1827.2,102.60779697469388,1624,1987,20.13286437547413,0.053911629449976316
50,20,torneio,100,10,0.2,0.2,0.7,1804.85,77.20833828026608,1696,1951,20.022509456644332,0.06573266130003504
50,20,torneio,50,10,0.5,0.2,0.7,1835.8,89.07670851575062,1635,1977,20.019173235512362,0.052335049400062415
50,20,torneio,10,10,0.2,0.8,0.0,1943.5,121.01177628644247,1646,2098,19.930868750417496,0.011885382899799879
50,20,torneio,100,10,0.5,0.2,0.0,1788.55,75.52448278538556,1634,1900,19.88408348985247,0.0657801004500925
50,20,torneio,50,10,0.2,0.8,0.0,1824.2,61.21976804921757,1692,1924,19.812524245513153,0.05325416340001539
50,20,torneio,50,200,0.8,0.0,0.7,1846.65,127.80894921718118,1557,2093,19.764032077497934,0.5687968316498881
50,20,torneio,50,50,0.8,0.0,0.7,1846.1,124.79098525133936,1609,2125,19.663069155767136,0.25336448790008037
50,20,torneio,100,50,0.5,0.0,0.7,1809.45,88.07580541783311,1600,2000,19.520354690780984,0.3193120672500299
50,20,torneio,100,10,0.2,0.2,0.1,1812.7,80.75648580764272,1591,1976,19.41802655679488,0.06559639789993525
50,20,torneio,100,50,0.5,0.0,0.0,1802.8,105.447427659474,1560,2027,19.31825640028914,0.30253484025001853
