N,execucoes,metodo_selecao,TP,NG,TC,TM,IG,custo_medio,desvio_padrao,melhor_custo,pior_custo,ganho_medio,tempo_medio
50,20,torneio,100,10,0.8,0.8,0.7,1702.0,70.50035460903726,1559,1799,24.250347319515534,0.0829681266499847
50,20,torneio,100,10,0.8,0.8,0.1,1714.95,77.39087478508044,1573,1850,24.243579698997085,0.07905962794989137
50,20,torneio,100,10,0.8,0.2,0.1,1702.15,92.7681383881341,1484,1836,24.21440739538684,0.07656885095002508
50,20,torneio,100,50,0.8,0.0,0.1,1738.7,142.2557907432945,1494,1970,24.043442061255384,0.3332859966499882
50,20,torneio,50,10,0.2,0.8,0.7,1734.8,72.20221603247367,1499,1867,24.00657064345811,0.03389935654997771
50,20,torneio,100,50,0.8,0.0,0.0,1712.4,130.94670671689303,1517,1945,23.78749179162763,0.3391203758999836
50,20,torneio,50,10,0.8,0.8,0.1,1751.5,40.79889704391529,1684,1837,23.58573968423343,0.03651424295002244
50,20,torneio,50,10,0.2,0.8,0.1,1755.5,68.39846489505449,1588,1871,23.41711132732278,0.03503594304999069
50,20,torneio,50,10,0.5,0.8,0.7,1744.8,77.65217318272555,1583,1867,23.36576686430467,0.03528424569999515
50,20,torneio,50,10,0.5,0.8,0.1,1749.95,56.90032952452912,1619,1820,22.9920087824614,0.03492245869999806
50,20,torneio,100,200,0.8,0.0,0.0,1718.8,117.45620460409916,1567,2002,22.85279791479131,2.009231949150012
50,20,torneio,100,10,0.2,0.8,0.7,1725.85,52.80840368729204,1626,1839,22.839765574454596,0.07303420399996412
50,20,torneio,100,100,0.8,0.0,0.7,1727.8,124.75479950687269,1499,2090,22.832744847729188,0.6938817543499909
50,20,torneio,100,10,0.5,0.8,0.7,1733.9,60.91297070411194,1595,1816,22.78627749440086,0.07482881775001715
50,20,torneio,100,10,0.2,0.8,0.1,1708.0,68.86871568426407,1576,1801,22.670666730551126,0.0747947465499692
50,20,torneio,100,10,0.5,0.2,0.1,1742.55,73.43396693628908,1629,1871,22.65769486032419,0.07286961769996196
50,20,torneio,100,50,0.8,0.0,0.7,1703.45,118.53247445320628,1469,2035,22.550290394900287,0.3352226442000529
50,20,torneio,100,100,0.8,0.0,0.0,1735.75,132.949943587803,1459,1999,22.2242723310892,0.6589674858500529
50,20,torneio,50,10,0.5,0.8,0.0,1776.8,77.83482511061486,1625,1912,22.21866440318872,0.03594400540001743
50,20,torneio,10,10,0.5,0.8,0.1,1895.8,95.82776215690316,1752,2152,22.052464256352927,0.00748068635001573
50,20,torneio,50,10,0.8,0.2,0.1,1784.9,97.10144180185996,1542,1947,21.728567166102845,0.03594923794998976
50,20,torneio,10,10,0.5,0.8,0.0,1915.3,84.94827838161288,1741,2035,21.611406226911956,0.007630471100003433
50,20,torneio,100,10,0.2,0.8,0.0,1756.25,53.093196362622585,1599,1830,21.576029958219976,0.07379298685002596
50,20,torneio,100,10,0.8,0.2,0.0,1760.05,78.06886383187602,1633,1956,21.55572709688636,0.07804774135001935
50,20,torneio,100,200,0.8,0.0,0.1,1771.6,111.19460418563483,1612,1964,21.508625992226833,2.009351349550002
50,20,torneio,100,10,0.8,0.2,0.7,1770.8,82.40485422594958,1574,1894,21.367225886547928,0.07491642899999533
50,20,torneio,10,10,0.8,0.8,0.7,1886.85,112.31396840998897,1596,2084,21.3476069883663,0.008068177949985511
50,20,torneio,10,10,0.2,0.8,0.7,1915.45,97.89201959301892,1637,2059,21.346691012574023,0.007741019649995451
50,20,torneio,50,10,0.5,0.2,0.1,1814.1,72.6525292058026,1701,1963,21.188024160837283,0.03384994974999245
50,20,torneio,10,10,0.8,0.8,0.1,1890.3,103.14848520458263,1716,2154,21.128511733809848,0.007828011499987042
50,20,torneio,50,10,0.8,0.2,0.7,1797.7,95.29538288920403,1571,1942,21.00285618027194,0.03566871769999125
50,20,torneio,50,10,0.2,0.8,0.0,1819.5,73.29904501424285,1653,1973,20.931888695739865,0.03579784649997464
50,20,torneio,100,200,0.8,0.0,0.7,1775.1,114.42285610838422,1518,1953,20.897464949203652,1.9240812493500017
50,20,torneio,100,10,0.5,0.2,0.7,1728.85,60.66817534754115,1609,1854,20.885376465917396,0.0722147762999839
50,20,torneio,10,10,0.2,0.8,0.1,1912.35,60.987929133558886,1816,2008,20.774069287997047,0.007238416350060106
50,20,torneio,10,10,0.8,0.8,0.0,1951.45,69.4618420429519,1817,2078,20.65367738000073,0.007682575699993777
50,20,torneio,10,10,0.5,0.8,0.7,1865.45,102.5609452959556,1673,2131,20.52657818056342,0.007961197150007138
50,20,torneio,100,10,0.8,0.0,0.7,1794.2,73.71268547543225,1687,1948,20.324046132412256,0.07593876074997752
